Team,MatchPlayed,W,D,L,Goals For,Goals Against,Goal Diff,Points
Arsenal,26,20,3,3,59,25,34,63
Man City,26,18,4,4,66,25,41,58
Man United,25,15,4,6,41,35,6,49
Tottenham,26,14,3,9,46,36,10,45
Liverpool,25,12,6,7,47,28,19,42
Newcastle,24,10,11,3,35,17,18,41
Fulham,25,11,6,8,36,31,5,39
Brighton,23,11,5,7,43,29,14,38
Brentford,23,8,11,4,37,30,7,35
Aston Villa,25,10,4,11,31,38,-7,34
Chelsea,25,9,7,9,24,25,-1,34
Crystal Palace,25,6,9,10,21,32,-11,27
Wolves,26,7,6,13,19,35,-16,27
Nottingham,25,6,8,11,20,44,-24,26
Leicester,25,7,3,15,36,43,-7,24
West Ham,25,6,5,14,23,33,-10,23
Leeds,25,5,7,13,29,40,-11,22
Everton,26,5,7,14,19,38,-19,22
Bournemouth,25,5,6,14,24,51,-27,21
Southampton,25,6,3,16,20,41,-21,21
